RMSE,MAPE,MAE
726.77,9.2842,578.77
660.58,8.5523,532.26
677.49,8.7253,543.92
676.2,8.6914,544.41
673.6,8.6148,540.15
676.8,8.5888,541.79
690.54,8.7432,550.22
671.56,8.4655,536.28
667.15,8.4131,532.11
667.38,8.395,531
661.15,8.2784,525.02
662.93,8.2926,525.38
664.91,8.3734,529.3
650.08,8.1599,516.64
660.86,8.2814,523.88
649.24,8.102,513.21
648.27,8.1106,513.8
653.49,8.0411,509.45
646.82,8.0266,509.73
642.74,7.9863,506.19
638.11,7.9214,501.6
634.26,7.9019,501.65
628.26,7.814,495.46
634.71,7.92,501.98
636.61,7.896,500.17
638.36,7.9075,501.6
625.72,7.7583,491.76
621.73,7.725,490.24
629.29,7.8143,495.8
627.61,7.7604,492.03
634.45,7.8467,497.11
637.86,7.8189,495.35
638.36,7.9474,503.78
638.71,7.8844,500.21
642.34,7.9745,506.36
638.9,7.8629,498.73
632.25,7.8528,497.28
633.64,7.8675,499.24
651.17,8.05,509.49
627.63,7.7982,494.81
633.62,7.8471,498.43
642.19,7.9523,504.04
647.65,7.9781,505.02
631.58,7.8703,500.5
647.92,8.0315,508.82
656.05,8.0784,511.62
628.24,7.7846,493.42
649.72,7.9791,505.17
645.51,8.0296,508.45
651.67,8.1093,513.84
654.14,8.0665,511.38
651.89,8.0351,508.97
653.06,8.0324,508.31
653.62,8.147,515.71
657.13,8.0946,513.17
644.83,8.0019,507.79
660.72,8.1746,517.85
651.68,8.0974,512.77
680.72,8.2261,520.18
656.13,8.1548,516.67
655.62,8.0989,512.19
663.83,8.1958,518.98
657,8.1401,516.26
701.53,8.6773,548.74
664.31,8.1541,517.24
659.51,8.1758,518.32
672.87,8.333,527.54
678.18,8.3032,525.97
670.08,8.2361,520.88
679.88,8.2904,524.11
666.37,8.2705,523.92
673.97,8.2727,523.76
682.77,8.42,533.1
672.63,8.2928,524.65
658.03,8.0935,512.67
670.75,8.358,528.54
673.03,8.3432,527.89
668.75,8.2256,521.1
686.71,8.4709,536.5
693.29,8.5578,541.57
669.03,8.2765,523.72
675.17,8.3335,528.58
676.09,8.4153,533.96
701.72,8.5426,540.12
693.16,8.5955,543.59
683.6,8.447,535.02
698.21,8.6189,545.41
686.19,8.4759,536.19
682.43,8.4861,536.59
682.18,8.3524,528.56
693.05,8.4734,536.4
677.69,8.4339,533.9
682.89,8.4345,533.88
673.11,8.2639,523.4
697.37,8.6418,546.36
686.58,8.5174,539.62
671.73,8.3146,526.42
680.11,8.4046,531.59
689.56,8.5074,538.86
713.36,8.7501,553.63
706.61,8.7108,551.56
701.35,8.7205,551.19
710.92,8.7535,553.87
697.96,8.6647,547.99
682.71,8.477,534.94
692.32,8.4762,535.48
694.04,8.4767,535.33
705.76,8.6747,549.15
693.83,8.5982,544.2
689.35,8.5616,541.5
682.46,8.481,536.06
693.71,8.5816,543
685.49,8.4901,537.6
681.05,8.5059,538.68
710.59,8.7184,550.93
688.14,8.5571,540.96
695.73,8.6217,545.74
687.98,8.5091,539.03
687.26,8.5038,538.26
698.38,8.635,546.37
698.4,8.6452,546.75
706.43,8.7548,552.74
686.77,8.5296,539.68
705.24,8.7333,553.44
714.19,8.828,557.58
689.43,8.5211,539.07
726.46,8.8591,560.02
704.82,8.6312,546.17
700.16,8.6618,546.8
706.36,8.7448,553.2
700.06,8.6372,546.44
694.64,8.5804,542.66
683.12,8.4681,534.82
706.5,8.679,549.21
702.03,8.6662,547.69
704.21,8.6911,548.93
705.67,8.6515,546.62
720.09,8.9192,564.18
692.92,8.5274,538.37
734.57,9.0918,575.89
738.2,9.1259,576.33
706.51,8.7331,552.1
728.32,8.797,556.5
698.51,8.6353,546.53
708.53,8.7187,551.73
701.47,8.6218,546.01
706.53,8.734,552.11
709.54,8.8134,558.1
725.44,8.8911,562.92
700.05,8.5736,541.36
