RMSE,MAPE,MAE
778.2,9.7402,607.17
656.89,8.4976,529.05
689.52,8.871,554.93
692.14,8.8458,555.04
695.46,8.8588,558.56
685.12,8.6743,549.26
682.37,8.6096,544.91
684.2,8.614,545.94
676.49,8.5039,539.77
673.92,8.458,537.96
668.77,8.3838,532.85
677.38,8.4385,536.97
672.57,8.3838,533.79
665.99,8.2981,528.61
663.62,8.2809,525.89
662.5,8.2193,522.15
659.56,8.1894,520.1
647.67,8.0987,516.16
653.8,8.068,512.25
657.81,8.1265,515
647.15,7.9886,507.4
643.62,7.9338,502.92
638.96,7.8685,497.92
653.47,7.986,506.28
653.51,7.9693,504.98
636.09,7.8463,497.19
626.31,7.7208,487.86
637.3,7.7668,490.82
653.51,7.9795,505.16
620.98,7.6606,485.54
626.19,7.647,483.5
637.3,7.7166,486
645.49,7.8292,493.26
626.14,7.7052,488.02
626.24,7.6672,486.21
630.15,7.7311,488.19
637.7,7.7694,490.93
628.24,7.7354,490.13
644.49,7.9312,501.99
646.44,7.93,502.32
640.33,7.8444,496.5
623.58,7.7293,490.02
658.85,7.989,503.64
658.52,8.0044,505.87
651.28,7.9155,500.61
680.22,8.0464,506.96
661.48,7.8728,496.63
656.67,8.0111,505.14
671.39,8.1282,512.43
666.88,8.1788,516.3
682.23,8.2757,523.27
683.8,8.2844,522.86
658.61,8.1563,514.87
664.44,8.1353,512.07
656.59,8.1309,513.12
694.89,8.4346,532.4
700.07,8.3951,529.16
685.19,8.3712,527.47
707.34,8.6774,545.58
694.76,8.3999,528.3
695.36,8.565,539.48
688.61,8.4268,530.44
684.65,8.3707,527.1
716.05,8.7418,549.38
715.42,8.6708,543.31
751.3,9.1552,575.53
740.98,8.923,561.84
747.07,9.0748,571.35
759.4,9.2354,582.06
732.32,9.1253,572.64
793.69,9.5743,601.33
779.29,9.076,569.95
749.35,8.966,563.17
769.96,9.4705,596.21
755.18,9.2385,580.58
782.54,9.4693,594.01
793.17,9.548,602.31
813.49,9.5609,600.63
787.45,9.4451,592.4
804.94,9.5241,595.92
795.7,9.695,609.97
816.02,9.8759,619.25
843.96,9.939,621.9
787.66,9.6478,605.3
799.18,9.8859,619.25
797.09,9.55,599.98
856.79,10.131,633.6
799.64,9.852,618.71
845.45,10.094,631.81
875.85,10.3,647.43
874.88,10.361,650.49
840.1,10.186,637.57
835.55,10.143,637.87
810.91,9.8628,619.82
877.29,10.644,667.97
905.63,10.753,675.73
852.35,10.196,640.57
895.87,10.729,673.51
921.72,10.606,665.77
881.29,10.582,664.99
924.79,10.915,685.36
914.46,10.875,682.15
1018.4,11.21,702.08
907.46,10.836,679.31
1018.6,11.707,733.96
962.69,10.943,686.62
887.77,10.755,674.13
986.48,11.546,725.74
985.19,11.35,713.18
933.3,11.223,705.69
979,11.217,705.56
995.39,11.533,724.31
983.93,11.352,713.65
1035.6,11.478,719.74
1004.2,11.779,740.4
997.41,11.491,723.15
1071.1,11.983,753.43
1040.4,11.62,729.49
1064.8,11.83,744.82
1008.5,11.887,749.76
1025,11.738,737.8
979.21,11.697,736.91
1044.8,12.087,758.58
1087,11.998,754.53
1058,12.044,757.25
1067.5,12.339,777.93
1023.7,12.019,754.92
1068.1,11.99,754.58
1118,12.332,775.14
1078.1,12.334,776.23
1105.9,12.564,789.86
1114.2,12.658,796.52
1064.7,12.444,784.55
1211.8,12.879,810.29
1083.9,12.261,770.89
1095.8,12.453,785.31
1083.3,12.493,785.77
1224.9,12.86,808.36
1128,12.799,805.67
1214.8,12.805,803.6
1138.5,12.863,811.05
1072.3,12.304,779.83
1187,13.199,830.14
1238.4,13.335,838.41
1145.5,12.844,808.73
1309.1,13.428,841.9
1094.5,12.635,796.64
1284.9,13.603,853.29
1204.5,13.185,831.13
1192.6,12.895,813.08
