RMSE,MAPE,MAE
714.26,9.1982,573.59
660.37,8.5444,531.25
683.31,8.8049,549.41
679.6,8.6862,544.9
673.8,8.5721,540.04
682.19,8.6582,545.92
677.17,8.5608,541.36
676.47,8.5316,540.29
677.3,8.5337,540.19
674.72,8.5091,539.45
667.94,8.3786,531.9
665.74,8.3246,528.66
666.76,8.3019,527.81
653.29,8.1318,516.65
657.54,8.1607,518.07
638.77,7.9662,505.51
648.15,8.043,510.56
641.93,8.0018,507.48
653.35,8.0917,514.65
643.93,7.9785,506.2
637.64,7.9089,502.95
657.35,8.0731,511.92
643.19,7.9276,502.37
640.61,7.9396,503.89
638.84,7.9004,501.26
640.97,7.9194,501.58
645.78,7.9425,502.79
640.78,7.9097,501.66
637.68,7.8493,496.34
646.93,7.8987,500.73
629.53,7.7883,492.97
630.83,7.8126,495.36
629.13,7.7995,493.52
637.12,7.8388,496.07
626.03,7.7602,490.57
645.23,7.9583,503.65
646.5,7.9525,503.61
659.26,7.9833,503.6
641.2,7.8144,493.05
630.34,7.7071,486.25
642.51,7.8938,497.14
654.09,7.9668,501.97
649.12,7.9465,500.69
641.86,7.904,499.03
649.3,8.0234,507.22
659.43,8.0555,507.2
647.97,7.9327,500.73
656.5,8.0186,505.19
638.74,7.8197,492.47
688.61,8.2474,521.08
649.82,8.0097,505.86
665.77,8.1976,516.85
672.46,8.1726,513.53
650.25,7.9949,503.17
665.22,8.2156,517.94
675.44,8.227,517.63
685.32,8.2816,520.52
666.42,8.2178,516.93
679.29,8.2978,522.2
701.01,8.6392,544.19
680.93,8.4362,529.61
677.15,8.3419,524.21
714.43,8.6646,542.34
706.41,8.6286,541.64
703.38,8.4738,530
700.37,8.5562,536.63
723.69,8.5923,538.74
735.37,8.8691,555.1
726.34,8.7526,549.26
710.45,8.7236,548.14
742.46,8.9055,557.62
778.99,9.2872,581.77
719.23,8.7025,545.22
732.31,8.8555,553.83
708.59,8.7021,546.58
742.61,8.8469,552.74
764.51,9.2078,576.56
746.59,9.0284,564.15
777.22,9.3263,582.24
736.78,8.9954,563.06
764.12,9.3646,585.21
785.33,9.4605,591.02
809.02,9.4545,590.27
781.48,9.5567,597.93
754.7,9.0596,565.72
765.76,9.1707,574.48
780.94,9.4124,588.78
788.72,9.4627,591.46
804.08,9.6181,600.4
788.62,9.4922,594.11
789.9,9.4472,590.93
810.78,9.4134,586.9
830.54,9.7701,608.61
808.91,9.73,608.1
821.66,9.7816,610.9
795.11,9.6515,604.26
842.42,9.9369,619.4
785.37,9.5479,597.19
825.56,9.6385,600.41
814.82,9.9006,618.94
794.48,9.5941,599.89
842.64,9.9767,622.12
831.65,9.8595,616.5
830.73,9.775,610.5
816.37,9.8303,614.01
848.35,10.039,627.5
875.87,10.4,648.11
894.23,10.42,648.22
864.46,10.086,628.38
833.14,9.987,622.96
860.29,10.173,634.6
834.21,10.111,631.38
881.16,10.303,642.51
883.56,10.293,641.1
873.18,10.176,635.63
831.78,10.145,632.8
932.65,10.737,669.96
855.68,10.275,641.91
852.29,10.164,635.43
896.01,10.561,659.85
855.98,10.267,640.42
914.88,10.955,684.09
922.75,10.567,659.08
909.28,10.685,667.01
907.05,10.761,672.21
925.79,10.508,654.73
901.49,10.427,650.14
887.45,10.31,643.05
915.6,10.529,656.03
890.04,10.463,652.31
924.45,10.663,665.15
944.36,10.776,671.48
920.32,10.692,667.54
904.53,10.665,666.31
929.3,10.668,665.91
945.15,10.809,673.88
917.78,10.606,661.4
992.54,11.042,687.43
903.02,10.748,672.7
963.56,11.192,697.72
967.07,11.325,708.43
956.92,10.842,675.98
1018,11.055,688.14
961.97,11.063,689.87
953.8,10.98,685.27
999.81,11.248,703.37
983.14,11.538,720.23
934.73,10.861,677.85
956.22,11.379,711.29
956.52,10.811,673.35
